12661900, -491520, 1796186
16285914, -491520, -49545
19162044, -491520, -2924962
21008670, -491520, -6548514
21644966, -491520, -10565389
21009617, -491520, -14579246
19163887, -491520, -18203255
16288470, -491520, -21079386
12664919, -491520, -22926010
8648044, -491520, -23562306
4634185, -491520, -22926963
1012747, -491520, -21083092
-1864088, -491520, -18208378
-3711596, -491520, -14585277
-4348875, -491520, -10568558
-3713532, -491520, -6551531
-1869659, -491520, -2930087
1005055, -491520, -53253
4628156, -491520, 1794255
8644874, -491520, 2431534
12661900, -491520, 1796186
10681437, -491520, 2109653
14698312, -491520, 1473359
18321863, -491520, -373255
21197283, -491520, -3249375
23043011, -491520, -6873378
23678325, -491520, -10887235
23042031, -491520, -14904105
21195417, -491520, -18527656
18319297, -491520, -21403075
14695294, -491520, -23248803
10681437, -491520, -23884123
6667586, -491520, -23248803
3043582, -491520, -21403075
167462, -491520, -18527656
-1679152, -491520, -14904105
-2315451, -491520, -10887235
-1680131, -491520, -6873378
165597, -491520, -3249375
3041016, -491520, -373255
6664567, -491520, 1473359
10681437, -491520, 2109653
8699488, -491520, 1795702
12716363, -491520, 2432031
16733237, -491520, 1795731
20356789, -491520, -50893
23232203, -491520, -2927027
25076952, -491520, -6548023
25713279, -491520, -10564894
25076979, -491520, -14581767
23230355, -491520, -18205318
20354221, -491520, -21080733
16733227, -491520, -22925487
12719529, -491520, -23561807
8702498, -491520, -22926490
5078497, -491520, -21080749
2202380, -491520, -18205319
355763, -491520, -14581762
-280559, -491520, -10568058
354758, -491520, -6551029
2200499, -491520, -2927027
5075929, -491520, -50910
8699488, -491520, 1795702
6911605, -491520, 884571
10535157, -491520, 2731215
14552031, -491520, 3367536
18568906, -491520, 2731226
22192454, -491520, 884587
25066006, -491520, -1988989
26912648, -491520, -5612537
27548968, -491520, -9629411
26912657, -491520, -13646285
25066018, -491520, -17269833
22192446, -491520, -20143390
18571913, -491520, -21989045
14555194, -491520, -22626348
10538164, -491520, -21991017
6914165, -491520, -20145264
4038045, -491520, -17269830
2192387, -491520, -13649292
1555084, -491520, -9632574
2190415, -491520, -5615544
4036168, -491520, -1991545
6911605, -491520, 884571
5492855, -491520, -534525
8368274, -491520, 2341617
11991824, -491520, 4188251
16008699, -491520, 4824561
20025572, -491520, 4188236
23646555, -491520, 2343454
26522693, -491520, -531962
28369327, -491520, -4155512
29005636, -491520, -8172386
28369311, -491520, -12189259
26524534, -491520, -15810246
23651681, -491520, -18684513
20028581, -491520, -20532035
16011862, -491520, -21169324
11994834, -491520, -20533981
8370834, -491520, -18688225
5496562, -491520, -15815368
3649041, -491520, -12192269
3011752, -491520, -8175550
3647095, -491520, -4158522
5492855, -491520, -534525
4582161, -491520, -2322631
6427891, -491520, 1301381
9303307, -491520, 4177510
12926858, -491520, 6024134
16943731, -491520, 6660429
20957586, -491520, 6025079
24581593, -491520, 4179350
27457722, -491520, 1303934
29304345, -491520, -2319616
